Name,Number,Size,GettyLat,GettyLon
Veii,1,185,42.0333,12.4
Cerveteri,2,160,42,12.1
Vetulonia,3,100,42.85,10.9667
Populonia,4,150,42.9833,10.4833
Volterra,5,100,43.4,10.85
Chiusi,6,50,43.0167,11.95
Bisenzio,7,35,43.8167,11.1333
Acquarossa,8,30,42.4833,12.1333
Perugia,9,32,43.1333,12.3667
Gravisca,10,24,42.2,11.7167
Gubbio,11,20,43.35,12.5833
Assisi,12,20,43.0667,12.6167
Citta di Castello,13,20,43.45,12.2333
Tarquinia,14,150,42.25,11.75
Vulci,15,126,42.4167,11.5833
Roselle,16,40,42.8,11.1333
Murlo,17,10,43.15,11.3833
Pisa,18,20,43.7167,10.3833
Orvieto,19,85,42.7167,12.1167
Arezzo,20,32,43.4167,11.8833
Cortona,21,30,43.2667,11.9833
Civita Castellano,22,26,42.2833,12.4167
Fiesole,23,30,43.8,11.2833
Todi,24,20,42.7833,12.4
Spoleto,25,20,42.7333,12.7333
