\hline,0,&,294.00000000,&,260.00000000,&,5,&,2,&,0.80000000,&,0.21105847,&,0.31256607,&,0.34875524,\\
\hline,1,&,283.00000000,&,247.00000000,&,7,&,3,&,0.61904762,&,0.19945861,&,0.27379900,&,0.34954461,\\
\hline,2,&,79.00000000,&,84.00000000,&,5,&,4,&,0.50000000,&,0.05035525,&,0.00970766,&,0.00446689,\\
\hline,3,&,66.00000000,&,71.00000000,&,3,&,3,&,0.66666667,&,0.04337810,&,0.00115698,&,0.00185463,\\
\hline,4,&,27.00000000,&,32.00000000,&,5,&,4,&,0.20000000,&,0.02700564,&,0.00023993,&,0.00010159,\\
\hline,5,&,9.00000000,&,14.00000000,&,6,&,7,&,0.41666667,&,0.01362576,&,0.00000886,&,0.00005294,\\
\hline,6,&,4.00000000,&,9.00000000,&,2,&,5,&,0.26666667,&,0.00936710,&,0.00543140,&,0.00000032,\\
\hline,7,&,9.00000000,&,14.00000000,&,4,&,4,&,0.28571429,&,0.01329569,&,0.01531721,&,0.00227146,\\
\hline,8,&,11.00000000,&,16.00000000,&,5,&,8,&,0.58333333,&,0.01501093,&,0.00000064,&,0.00000006,\\
\hline,9,&,5.00000000,&,10.00000000,&,3,&,4,&,0.73333333,&,0.00968517,&,0.00970359,&,0.00086845,\\
\hline,10,&,8.00000000,&,13.00000000,&,5,&,6,&,0.80000000,&,0.01262758,&,0.00000021,&,0.00000006,\\
\hline,11,&,4.00000000,&,9.00000000,&,3,&,4,&,0.70000000,&,0.00938718,&,0.00000103,&,0.00000020,\\
\hline,12,&,5.00000000,&,10.00000000,&,3,&,6,&,0.80000000,&,0.01028454,&,0.00000041,&,0.00000002,\\
\hline,13,&,213.00000000,&,184.00000000,&,7,&,5,&,0.57142857,&,0.15049520,&,0.23300300,&,0.22842815,\\
\hline,14,&,114.00000000,&,108.00000000,&,8,&,5,&,0.39285714,&,0.07712591,&,0.10391678,&,0.05876638,\\
\hline,15,&,33.00000000,&,38.00000000,&,5,&,3,&,0.40000000,&,0.02475370,&,0.00299766,&,0.00353336,\\
\hline,16,&,2.00000000,&,7.00000000,&,2,&,3,&,0.30000000,&,0.00758283,&,0.00006334,&,0.00000000,\\
\hline,17,&,7.00000000,&,12.00000000,&,1,&,1,&,0.00000000,&,0.01102136,&,0.00000474,&,0.00000818,\\
\hline,18,&,32.00000000,&,37.00000000,&,6,&,5,&,0.37777778,&,0.03215006,&,0.02116014,&,0.00000150,\\
\hline,19,&,10.00000000,&,15.00000000,&,6,&,7,&,0.52380952,&,0.01410335,&,0.00000045,&,0.00000009,\\
\hline,20,&,13.00000000,&,18.00000000,&,5,&,6,&,0.57142857,&,0.01659482,&,0.00000007,&,0.00000011,\\
\hline,21,&,4.00000000,&,9.00000000,&,4,&,3,&,0.52380952,&,0.00913143,&,0.01085347,&,0.00123860,\\
\hline,22,&,6.00000000,&,11.00000000,&,2,&,2,&,0.00000000,&,0.01054958,&,0.00000355,&,0.00000351,\\
\hline,23,&,5.00000000,&,10.00000000,&,4,&,5,&,0.35714286,&,0.01007376,&,0.00002368,&,0.00000020,\\
\hline,24,&,7.00000000,&,12.00000000,&,4,&,5,&,0.53333333,&,0.01187798,&,0.00004014,&,0.00010345,\\
